id;name;description;state;stock
1;Petit minima Vélo;../fake-data/blob/hipster.txt;Moyen;32035
2;Paraguay Congelé;../fake-data/blob/hipster.txt;Mauvais;19604
3;error id bzzz;../fake-data/blob/hipster.txt;Neuf;8492
4;Lard Femme Account;../fake-data/blob/hipster.txt;Mauvais;792
5;Rock Beauté;../fake-data/blob/hipster.txt;Mauvais;32138
6;confirmer roumain Enfants;../fake-data/blob/hipster.txt;Neuf;28880
7;Superviseur;../fake-data/blob/hipster.txt;Neuf;14425
8;Bijoux Sud;../fake-data/blob/hipster.txt;Neuf;17481
9;facture;../fake-data/blob/hipster.txt;Bon;3876
10;Lofi dépôt;../fake-data/blob/hipster.txt;Mauvais;463
